,us_value,gyr_acc_x,gyr_acc_y,gyr_acc_z,gyr_x,gyr_y,gyr_z
0,0.75808800048161,0.0781228296445518,0.043504747044810485,0.052880890368666854,0.023346491479657554,0.011865006986068944,0.03219203399463434
1,0.6338367866218172,0.10436876258118387,0.07588081641722723,0.07079147641493583,0.05288072879471748,0.02247594886564704,0.03976548030447118
2,0.6220130581532295,0.1058494875119434,0.07808410296872523,0.08151368472397726,0.0486718807566228,0.024089170057730133,0.03977861582777202
3,0.6039298775515624,0.1254233952112181,0.08869295492604777,0.07836928458892525,0.024144028591178535,0.01929956751652621,0.0601408916145419
4,0.613310735348596,0.11377756126277465,0.10062197786750371,0.08435534084709026,0.036797522483943135,0.016979078290536277,0.03415778389955591
5,0.6220390411998864,0.12341922556774138,0.06699794485341451,0.0785213601670902,0.037185936410802894,0.025146580996193945,0.046689910804870685
6,0.7181058432813237,0.08330145573813107,0.05655868655483985,0.07067695564121436,0.026456264873742745,0.012446808502361692,0.032453985408386316
7,0.9872933472682844,0.011230977242068558,0.0001237200024805937,3.8297751005788546e-05,0.00017526411381786982,0.0010497426377045899,8.865098463829723e-05
8,0.5998483056642182,0.12916685938083441,0.07827142884918892,0.07795401333408465,0.04398206795304868,0.024187187533798508,0.04659013728482652
9,0.6079120314969935,0.11562469247617092,0.07874169124253051,0.08018157890133945,0.042119178180109865,0.019368609974240718,0.05605221772861513
10,0.7811329231085098,0.08055175090562912,0.042981044881672294,0.040830173266954733,0.017905472442458804,0.012948526006225926,0.023650109388549046
11,0.600387774756009,0.11874583624461996,0.06943449249910416,0.0953917674223176,0.04656820379783159,0.0217086293984978,0.047763295881619865
12,0.5834523180108447,0.11148966824085904,0.08524397378705022,0.09712799542161096,0.04542709808375507,0.026519370478954325,0.050739575976925265
13,0.7248056542819601,0.08791666731647219,0.03582406335441135,0.06149300903741679,0.049789904619356076,0.011923387018330026,0.028247314372053616
