,us_value,gyr_acc_x,gyr_acc_y,gyr_acc_z,gyr_x,gyr_y,gyr_z
0,0.9980004742432181,0.0009546359099148584,0.000318782859826202,0.0002778904959270236,0.00016276972076780753,0.00014371642369684581,0.00014173034664927264
1,0.9980619928700065,0.0009062112126409443,0.000317432875837577,0.00030224183942980244,0.00014218793342639515,0.00013236344248570292,0.0001375698261731282
2,0.9981061708272371,0.0009149616565148656,0.0002903256244240753,0.00023666791661850747,0.00015224032049735166,0.00015708184716484576,0.00014255180754334907
3,0.9980315103180062,0.0009398150120650269,0.00031384035115616493,0.0002735856546384422,0.00016024090891696467,0.0001414907203721674,0.00013951703484509572
4,0.9980921721802923,0.0008921138729285972,0.0003124920345920439,0.00029752078158083023,0.00013996822545841745,0.00013028957641310175,0.00013544332873467364
5,0.9981359462108378,0.0009005990690201469,0.00028573396905784865,0.00023296767532762566,0.00014984571185955385,0.0001546201515221402,0.0001402872123747821
6,0.9975271311098038,0.0013873284220960924,0.00035722000590501844,0.00030821456864252555,0.00018068217015811277,0.0001165433302553569,0.00012288039313911823
7,0.9990977900356716,0.0007939218583940348,6.388222825548127e-05,2.2569034942539327e-05,7.509909048053155e-06,5.8468408496841865e-06,8.48009283867853e-06
8,0.9979997837920833,0.0009469164147181649,0.00031555292821302226,0.0002585974489342131,0.00020055458390578332,0.00014741971913251732,0.00013117511301293777
9,0.9980466044544828,0.0009393615274847963,0.0003108281665176828,0.0002761107171363095,0.0001494569386039521,0.00013962657908615287,0.00013801161668829985
10,0.9981561051331455,0.000882322175009513,0.0002902566220900873,0.00024350805717929412,0.00014055435629655786,0.0001509087138847218,0.0001363449423944611
11,0.998135851387437,0.0008979817971801804,0.0002939988237773615,0.00024855063098874704,0.00015710659522655336,0.00015118624686216858,0.00011532451852801973
12,0.9980792488343679,0.000950320499713271,0.0003141023504732391,0.00026146180306151447,0.00014167744162264467,0.0001304679431538991,0.0001227211276075761
13,0.998180476024225,0.0009008065718233202,0.00027839547046083155,0.00022687717351278292,0.00014044272146112344,0.00015207045001135042,0.00012093158850568727
