,ir_value,ir_strength,gyr_acc_x,gyr_acc_y,gyr_acc_z,gyr_x,gyr_y,gyr_z
0,0.8933092203126676,0.04718579177901267,0.0369920937180981,0.004679844192139579,0.004126110079715629,0.009183081937054655,0.0025684728634162114,0.0019553851178956533
1,0.8932621105401923,0.04692709590996032,0.037079386189124174,0.004773435973221649,0.004193091884856627,0.00931490669002154,0.0025812006086018786,0.0018687722040214038
2,0.8931753824949797,0.04719577505000202,0.0367741856165573,0.004724958369480528,0.004305299932542628,0.009431590199098987,0.002531243561710324,0.0018615647756285438
3,0.8950126347416865,0.0464027667717858,0.03642240205692881,0.00461351482769613,0.0040582067656797375,0.009038112743315757,0.0025279959680374114,0.0019243661248698753
4,0.89495501785802,0.04616483673644965,0.03650096235515324,0.004702797364123483,0.004125841594172025,0.009170804296790685,0.0025404233797935564,0.0018393164154973374
5,0.8948766025715814,0.046437495553498735,0.036196891266350555,0.004645976977513806,0.004238062931656007,0.009281719259663873,0.0024909915632341647,0.0018322598765014133
6,0.8956593277094566,0.04600148131095238,0.036258984033280615,0.004611524194186072,0.0041507518506752805,0.008974043647403545,0.002491274790485226,0.0018526124635603878
7,0.8957821354774489,0.045793923669025155,0.03621158488695501,0.004677169809348551,0.004091963243496562,0.009100687776299767,0.0025271903173579935,0.0018153448200680855
8,0.8957237148087975,0.04604454223563148,0.03590529036021531,0.004618190308381029,0.004206749182494776,0.009210513759323266,0.0024732145342952635,0.0018177848108612965
9,0.8961177255566894,0.04536332990827495,0.036334723106062464,0.0045963263629444865,0.00413128023341469,0.0091226725743835,0.0025289115797325168,0.001805030678497952
10,0.895796249985753,0.04577837878156722,0.03621729594085372,0.004673399437657581,0.004093106992098172,0.009099557491638004,0.002526751614464126,0.00181525975596815
11,0.8957510156116788,0.046010336779654895,0.035920106189740904,0.004612282133149222,0.0042083100237711125,0.009207791091720891,0.0024722383385510443,0.001817919831733163
12,0.8950604516458859,0.04598564836162839,0.0367114421078583,0.004687405980723034,0.004074347911265241,0.009123803465597073,0.00252989353981777,0.0018270069872243096
13,0.8950385016502379,0.04602567488200354,0.03648912903467111,0.00467574260498647,0.004180918555709606,0.009193876254486043,0.002537805580182365,0.001858351437723072
14,0.8950104681533376,0.04631401538315803,0.036191853604336265,0.0046413921470127,0.0042413735578442436,0.009277721872176447,0.0024911664647251593,0.001832008817409463
15,0.8932877106218935,0.04701139315255745,0.03709371325334555,0.0047590690952615325,0.004173479247768853,0.0092723618363766,0.002568229873333041,0.0018340429194634127
16,0.8932707971393816,0.04682984471610126,0.037089821994508276,0.004780615957899099,0.004197901751830037,0.009404570044870593,0.0025573797333103988,0.0018690686620985379
17,0.8932707159400808,0.047125215272260934,0.036756837402616156,0.004707065448252562,0.004309189363510286,0.009436007338238645,0.0025339531613731443,0.0018610160736673665
18,0.8933462635758719,0.04716461442279747,0.036976638111806806,0.004685694848410114,0.004121469752003449,0.009179435305301567,0.002571719300635478,0.001954164683173086
19,0.8932652506894065,0.046917033290251646,0.03707331779415363,0.004780030626950277,0.004193271785825316,0.009321314583179757,0.0025817029571347026,0.0018680782730982287
20,0.8932328671658983,0.04718350766923979,0.03674613872748887,0.004720344338961673,0.004300537731678628,0.0094242643594936,0.0025309218325815378,0.0018614181746576903
21,0.8950126347416865,0.0464027667717858,0.03642240205692881,0.00461351482769613,0.0040582067656797375,0.009038112743315757,0.0025279959680374114,0.0019243661248698753
22,0.89495501785802,0.04616483673644965,0.03650096235515324,0.004702797364123483,0.004125841594172025,0.009170804296790685,0.0025404233797935564,0.0018393164154973374
23,0.8948766025715814,0.046437495553498735,0.036196891266350555,0.004645976977513806,0.004238062931656007,0.009281719259663873,0.0024909915632341647,0.0018322598765014133
24,0.8956689465107548,0.045976255417068866,0.03625919325516789,0.004614935981090795,0.00416340764808409,0.008972780406258521,0.0024900922111401216,0.0018543885704348523
25,0.8957806793087153,0.04579291130654221,0.03621207158561272,0.004681116979326498,0.004090491759838571,0.009100187812448587,0.0025271903173579944,0.0018153509301581689
26,0.8956935026253373,0.04606997616055516,0.035914937498973946,0.004611790141045045,0.004208123760284498,0.009211021898180433,0.002472899753691232,0.0018177481619324068
27,0.8957992443001404,0.0456940384868471,0.036321414267063486,0.004598473006753646,0.004135031231150424,0.009117948247849405,0.002528900506291882,0.0018049499539037133
28,0.8957721516789998,0.04585169993538405,0.036168395919799395,0.004672887973536579,0.004093186805532262,0.009100197189328293,0.0025267160097719637,0.0018147644876476295
29,0.8957510156116788,0.046010336779654895,0.035920106189740904,0.004612282133149222,0.0042083100237711125,0.009207791091720891,0.0024722383385510443,0.001817919831733163
30,0.8950604537703815,0.04598564836162839,0.036711442107811944,0.004687405980723034,0.004074347911265241,0.00912380134114781,0.00252989353981777,0.0018270069872243096
31,0.8950451512018245,0.046032789461425104,0.03648244273120117,0.004680728459795041,0.00417085208702424,0.009194089202517233,0.0025362107913313244,0.0018577360648814707
32,0.8950166127082965,0.0462944826352632,0.03619614816992322,0.004649279151076314,0.0042413349378978855,0.00927871068495012,0.002491337670850834,0.0018320940417421044
33,0.8932903893096191,0.047011422166451246,0.03709272707712288,0.004756086799500919,0.004173804454094821,0.009272983743475204,0.0025682298733330413,0.0018343565764027965
34,0.8932659433913893,0.04681997917304372,0.037100761776118776,0.004784103594551163,0.004197781084604507,0.009403871374681662,0.00255749839603646,0.0018700612095744642
35,0.8932637050810743,0.04711703333749976,0.03676942401195723,0.00472356952359891,0.00430910121219141,0.009425237901342054,0.002530957276854027,0.0018609716554822578
36,0.8933005999923935,0.04717609608141975,0.03699392589257325,0.004682757265811956,0.004127963779446602,0.009194097285499712,0.002569227532556592,0.0019553321702986503
37,0.8933423912505991,0.04684881394053185,0.037078392276252016,0.0047778160305979355,0.004192138504958721,0.009311821088250195,0.002580893749995324,0.0018677331588147115
38,0.8931786955202994,0.04719776952843853,0.03677099973402762,0.004720941173614848,0.004305613308251632,0.009433265877112561,0.002531193824583676,0.0018615210336717562
39,0.8950126347416865,0.0464027667717858,0.03642240205692881,0.00461351482769613,0.0040582067656797375,0.009038112743315757,0.0025279959680374114,0.0019243661248698753
40,0.89495501785802,0.04616483673644965,0.03650096235515324,0.004702797364123483,0.004125841594172025,0.009170804296790685,0.0025404233797935564,0.0018393164154973374
41,0.8948766025715814,0.046437495553498735,0.036196891266350555,0.004645976977513806,0.004238062931656007,0.009281719259663873,0.0024909915632341647,0.0018322598765014133
42,0.895704129598056,0.04593950720598661,0.03627547902830295,0.004611544851919749,0.004159342797474043,0.008974519415964268,0.0024877150756047045,0.0018477620266915702
